date,ticker,price
2024-01-01,AAPL,150.36994874993317
2024-01-02,AAPL,149.05898320834527
2024-01-03,AAPL,149.8560651624572
2024-01-04,AAPL,151.05516988620204
2024-01-05,AAPL,150.7019810416994
2024-01-06,AAPL,150.3825700860545
2024-01-07,AAPL,151.11097494981576
2024-01-08,AAPL,149.98747081770367
2024-01-09,AAPL,150.8990808987098
2024-01-10,AAPL,148.97282312777293
2024-01-11,AAPL,148.37732537904537
2024-01-12,AAPL,147.90020627124738
2024-01-13,AAPL,149.14174737629187
2024-01-14,AAPL,148.32229932304284
2024-01-15,AAPL,146.75588834213193
2024-01-16,AAPL,146.12584589641057
2024-01-17,AAPL,144.83229151345594
2024-01-18,AAPL,143.82953719551932
2024-01-19,AAPL,144.2737613673175
2024-01-20,AAPL,144.69617969215625
